Frequency (Hz),Amplitude (dBm)
466665444.7,-72.87
466673904.9,-77.30
466682365.1,-75.10
466690825.4,-70.79
466699285.6,-71.35
466707745.8,-76.71
466716206.1,-68.45
466724666.3,-70.69
466733126.5,-70.93
466741586.8,-71.92
466750047.0,-75.37
466758507.3,-73.49
466766967.5,-72.71
466775427.7,-71.32
466783888.0,-73.83
466792348.2,-69.22
466800808.4,-70.11
466809268.7,-69.14
466817728.9,-70.98
466826189.2,-71.73
466834649.4,-74.91
466843109.6,-67.84
466851569.9,-67.97
466860030.1,-64.68
466868490.3,-58.76
466876950.6,-60.03
466885410.8,-67.86
466893871.0,-73.14
466902331.3,-69.76
466910791.5,-69.82
466919251.8,-72.12
466927712.0,-70.51
466936172.2,-68.71
466944632.5,-69.28
466953092.7,-69.93
466961552.9,-64.12
466970013.2,-59.25
466978473.4,-60.43
466986933.7,-67.38
466995393.9,-69.73
467003854.1,-69.15
467012314.4,-68.42
467020774.6,-67.79
467029234.8,-76.02
467037695.1,-58.60
467046155.3,-58.24
467054615.5,-65.68
467063075.8,-67.25
467071536.0,-66.20
467079996.3,-66.53
467088456.5,-68.21
467096916.7,-67.55
467105377.0,-69.79
467113837.2,-68.13
467122297.4,-64.90
467130757.7,-64.81
467139217.9,-63.94
467147678.2,-65.02
467156138.4,-65.02
467164598.6,-65.80
467173058.9,-64.85
467181519.1,-64.40
467189979.3,-63.76
467198439.6,-71.04
467206899.8,-66.75
467215360.1,-63.04
467223820.3,-62.58
467232280.5,-62.91
467240740.8,-68.86
467249201.0,-64.75
467257661.2,-62.16
467266121.5,-62.79
467274581.7,-69.92
467283041.9,-60.22
467291502.2,-61.30
467299962.4,-58.46
467308422.7,-61.88
467316882.9,-60.11
467325343.1,-58.29
467333803.4,-63.45
467342263.6,-60.64
467350723.8,-60.20
467359184.1,-57.22
467367644.3,-58.25
467376104.6,-65.26
467384564.8,-46.08
467393025.0,-45.11
467401485.3,-66.18
467409945.5,-53.49
467418405.7,-54.15
467426866.0,-52.90
467435326.2,-52.04
467443786.4,-46.68
467452246.7,-46.32
467460706.9,-42.99
467469167.2,-41.77
467477627.4,-41.17
467486087.6,-38.78
467494547.9,-40.26
467503008.1,-37.80
467511468.3,-37.93
467519928.6,-36.64
467528388.8,-37.23
467536849.1,-35.79
467545309.3,-35.77
467553769.5,-36.31
467562229.8,-43.21
467570690.0,-36.60
467579150.2,-39.20
467587610.5,-39.13
467596070.7,-38.74
467604530.9,-39.46
467612991.2,-38.27
467621451.4,-38.89
467629911.7,-38.15
467638371.9,-38.94
467646832.1,-41.57
467655292.4,-45.00
467663752.6,-44.38
467672212.8,-48.80
467680673.1,-56.07
467689133.3,-54.33
467697593.6,-53.07
467706053.8,-52.29
467714514.0,-55.77
467722974.3,-54.09
467731434.5,-54.78
467739894.7,-56.28
467748355.0,-59.09
467756815.2,-59.84
467765275.4,-60.37
467773735.7,-59.73
467782195.9,-57.93
467790656.2,-58.90
467799116.4,-58.18
467807576.6,-63.05
467816036.9,-60.79
467824497.1,-60.39
467832957.3,-60.66
467841417.6,-63.20
467849877.8,-61.07
467858338.1,-61.45
467866798.3,-64.72
467875258.5,-64.85
467883718.8,-62.35
467892179.0,-63.55
467900639.2,-67.04
467909099.5,-65.50
467917559.7,-63.71
467926019.9,-65.68
467934480.2,-56.82
467942940.4,-55.78
467951400.7,-58.69
467959860.9,-64.81
467968321.1,-69.45
467976781.4,-67.60
467985241.6,-65.35
467993701.8,-69.86
468002162.1,-67.36
468010622.3,-66.56
468019082.6,-67.90
468027542.8,-67.56
468036003.0,-67.71
468044463.3,-65.79
468052923.5,-64.14
468061383.7,-68.14
468069844.0,-74.18
468078304.2,-65.69
468086764.5,-67.26
468095224.7,-72.16
468103684.9,-59.20
468112145.2,-59.27
468120605.4,-67.87
468129065.6,-73.75
468137525.9,-66.47
468145986.1,-67.58
468154446.3,-71.30
468162906.6,-70.81
468171366.8,-68.67
468179827.1,-69.21
468188287.3,-71.07
468196747.5,-71.16
468205207.8,-67.96
468213668.0,-89.53
468222128.2,-72.38
468230588.5,-71.53
468239048.7,-68.72
468247509.0,-69.20
468255969.2,-76.10
468264429.4,-71.75
468272889.7,-70.09
468281349.9,-72.30
468289810.1,-73.69
468298270.4,-54.33
468306730.6,-69.16
468315190.8,-67.26
468323651.1,-73.38
468332111.3,-70.00
468340571.6,-68.90
468349031.8,-74.58
468357492.0,-62.42
468365952.3,-62.53
468374412.5,-70.48
468382872.7,-74.07
468391333.0,-72.79
468399793.2,-70.29
468408253.5,-74.62
468416713.7,-74.84
468425173.9,-70.44
468433634.2,-72.17
468442094.4,-76.79
468450554.6,-63.46
468459014.9,-64.01
468467475.1,-64.54
468475935.3,-68.91
468484395.6,-71.37
468492855.8,-69.53
468501316.1,-73.00
468509776.3,-71.44
468518236.5,-72.59
468526696.8,-72.71
468535157.0,-74.72
468543617.2,-63.43
468552077.5,-81.52
468560537.7,-73.60
468568998.0,-74.84
468577458.2,-76.98
468585918.4,-72.71
468594378.7,-71.19
468602838.9,-63.73
468611299.1,-64.76
468619759.4,-64.80
468628219.6,-72.27
468636679.8,-71.41
468645140.1,-71.51
468653600.3,-73.15
468662060.6,-71.74
468670520.8,-80.62
468678981.0,-72.84
468687441.3,-76.87
468695901.5,-74.39
468704361.7,-65.23
468712822.0,-66.13
468721282.2,-73.53
468729742.5,-77.11
468738202.7,-75.38
468746662.9,-74.45
468755123.2,-74.39
468763583.4,-77.17
468772043.6,-72.76
468780503.9,-72.27
468788964.1,-74.97
468797424.3,-73.61
468805884.6,-78.09
468814344.8,-73.63
468822805.1,-76.95
468831265.3,-72.95
468839725.5,-71.67
468848185.8,-73.85
468856646.0,-69.30
468865106.2,-63.09
468873566.5,-62.85
468882026.7,-77.70
468890487.0,-72.24
468898947.2,-76.34
468907407.4,-76.70
468915867.7,-77.58
468924327.9,-72.12
468932788.1,-73.90
468941248.4,-66.07
468949708.6,-67.10
468958168.8,-66.32
468966629.1,-73.19
468975089.3,-77.11
468983549.6,-72.78
468992009.8,-73.30
469000470.0,-77.95
469008930.3,-75.78
469017390.5,-72.74
469025850.7,-74.29
469034311.0,-77.61
469042771.2,-74.74
469051231.5,-74.70
469059691.7,-77.70
469068151.9,-79.90
469076612.2,-77.59
469085072.4,-73.50
469093532.6,-72.85
469101992.9,-74.12
469110453.1,-73.59
469118913.4,-77.01
469127373.6,-79.85
469135833.8,-75.78
469144294.1,-75.70
469152754.3,-76.79
469161214.5,-76.98
469169674.8,-75.95
469178135.0,-74.26
469186595.2,-74.03
469195055.5,-79.01
469203515.7,-67.31
469211976.0,-68.13
469220436.2,-75.30
469228896.4,-76.31
469237356.7,-77.03
469245816.9,-77.27
469254277.1,-75.41
469262737.4,-75.34
469271197.6,-75.35
469279657.9,-73.75
469288118.1,-74.64
469296578.3,-75.13
469305038.6,-76.14
