Frequency (Hz),Amplitude (dBm)
471014006.4,-90.60
471022466.6,-92.23
471030926.9,-89.19
471039387.1,-87.64
471047847.4,-84.89
471056307.6,-88.86
471064767.8,-93.05
471073228.1,-86.22
471081688.3,-95.01
471090148.5,-88.63
471098608.8,-88.39
471107069.0,-86.59
471115529.3,-81.74
471123989.5,-84.65
471132449.7,-83.57
471140910.0,-84.00
471149370.2,-80.12
471157830.4,-78.60
471166290.7,-75.28
471174750.9,-75.40
471183211.2,-78.48
471191671.4,-73.16
471200131.6,-75.66
471208591.9,-89.64
471217052.1,-94.70
471225512.3,-90.06
471233972.6,-95.68
471242432.8,-85.57
471250893.0,-91.03
471259353.3,-94.53
471267813.5,-92.79
471276273.8,-91.78
471284734.0,-94.02
471293194.2,-91.08
471301654.5,-92.84
471310114.7,-93.81
471318574.9,-91.31
471327035.2,-90.80
471335495.4,-93.52
471343955.7,-76.47
471352415.9,-76.40
471360876.1,-76.26
471369336.4,-79.30
471377796.6,-83.13
471386256.8,-78.27
471394717.1,-77.23
471403177.3,-78.51
471411637.5,-91.10
471420097.8,-89.52
471428558.0,-89.77
471437018.3,-92.78
471445478.5,-88.57
471453938.7,-94.86
471462399.0,-90.99
471470859.2,-90.11
471479319.4,-93.15
471487779.7,-89.12
471496239.9,-91.04
471504700.2,-91.46
471513160.4,-90.13
471521620.6,-92.52
471530080.9,-92.03
471538541.1,-95.61
471547001.3,-80.35
471555461.6,-82.96
471563921.8,-82.93
471572382.0,-83.79
471580842.3,-77.24
471589302.5,-75.94
471597762.8,-74.07
471606223.0,-79.41
471614683.2,-92.49
471623143.5,-91.42
471631603.7,-95.14
471640063.9,-98.80
471648524.2,-92.51
471656984.4,-94.59
471665444.7,-92.56
471673904.9,-95.05
471682365.1,-101.09
471690825.4,-95.53
471699285.6,-93.69
471707745.8,-90.26
471716206.1,-93.57
471724666.3,-94.61
471733126.5,-92.47
471741586.8,-91.65
471750047.0,-78.31
471758507.3,-77.69
471766967.5,-83.26
471775427.7,-79.56
471783888.0,-73.21
471792348.2,-73.86
471800808.4,-70.00
471809268.7,-84.88
471817728.9,-93.12
471826189.2,-93.20
471834649.4,-86.35
471843109.6,-94.54
471851569.9,-89.79
471860030.1,-90.59
471868490.3,-88.41
471876950.6,-88.70
471885410.8,-94.42
471893871.0,-92.70
471902331.3,-92.66
471910791.5,-91.34
471919251.8,-97.74
471927712.0,-93.33
471936172.2,-93.88
471944632.5,-89.06
471953092.7,-79.73
471961552.9,-75.18
471970013.2,-69.64
471978473.4,-78.50
471986933.7,-80.94
471995393.9,-81.87
472003854.1,-74.70
472012314.4,-75.81
472020774.6,-91.89
472029234.8,-93.30
472037695.1,-91.82
472046155.3,-94.71
472054615.5,-93.45
472063075.8,-89.45
472071536.0,-88.30
472079996.3,-97.79
472088456.5,-91.15
472096916.7,-92.36
472105377.0,-92.61
472113837.2,-89.36
472122297.4,-94.49
472130757.7,-95.94
472139217.9,-93.81
472147678.2,-92.99
472156138.4,-82.76
472164598.6,-82.69
472173058.9,-80.93
472181519.1,-76.21
472189979.3,-80.37
472198439.6,-80.26
472206899.8,-79.27
472215360.1,-89.84
472223820.3,-96.71
472232280.5,-97.32
472240740.8,-90.25
472249201.0,-90.27
472257661.2,-94.64
472266121.5,-93.49
472274581.7,-91.33
472283041.9,-93.49
472291502.2,-90.89
472299962.4,-89.06
472308422.7,-91.27
472316882.9,-90.33
472325343.1,-86.44
